sample	Prot1-readings	conc.	Prot1-Cal.Con.	Prot1-1	Prot2-readings	conc.	Prot2-Cal.Con.	Prot2-1	Prot3-readings	conc.	Prot3-Cal.Con.	Prot3-1	Prot4-readings	conc.	Prot4-Cal.Con.	Prot4-1	Prot5-readings	conc.	Prot5-Cal.Con.	Prot5-1	Prot6-readings	conc.	Prot6-Cal.Con.	Prot6-1	Prot7-readings	conc.	Prot7-Cal.Con.	Prot7-1	Prot8-readings	conc.	Prot8-Cal.Con.	Prot8-1	Prot9-readings	conc.	Prot9-Cal.Con.	Prot9-1	Prot10-readings	conc.	Prot10-Cal.Con.	Prot10-1
V2120003B2 1:50000	55020.0	-	2.0029360495315953	100146.80247657976	82532.0	-	4.34024167164645	217012.08358232252	209.0	-	nan	nan	34014.0	-	1.6911582670138716	84557.91335069358	54486.0	-	2.318227195277058	115911.35976385289	183126.0	-	6.624495968999367	331224.7984499684	131430.0	-	4.292128754782799	214606.43773913995	37274.0	-	1.3623498645438847	68117.49322719424	50306.0	-	1.8813439447678586	94067.19723839292	185271.0	-	6.574475562732941	328723.778136647
V2120003B2 1:100000	5501.0	-	0.19565766946952995	19565.766946952994	7758.0	-	0.5019625942945628	50196.25942945628	155.0	-	nan	nan	3369.0	-	0.18062401749587462	18062.40174958746	5444.0	-	0.25491325281053007	25491.325281053007	18281.0	-	0.8101506287507986	81015.06287507986	12943.0	-	0.508954301472953	50895.430147295294	3602.0	-	0.18213919805850026	18213.919805850026	4997.0	-	0.18217183804578876	18217.183804578875	18421.0	-	0.7612966939940995	76129.66939940995
V2120031B1 1:50000	27748.0	-	1.0067464605030192	50337.32302515096	55155.0	-	3.0088783295267607	150443.91647633802	2075.0	-	0.09915326674486576	4957.663337243288	25197.0	-	1.2691724345354989	63458.621726774945	30387.0	-	1.3316276780194567	66581.38390097284	117568.0	-	4.43500478606757	221750.2393033785	106072.0	-	3.513183863700177	175659.19318500883	25805.0	-	0.9983096836675834	49915.48418337917	20493.0	-	0.7237028641387758	36185.14320693879	134093.0	-	4.8595262977161156	242976.31488580577
3001241302 1:50000	29163.0	-	1.058394280008977	52919.71400044885	27449.0	-	1.5948332423984086	79741.66211992044	423.0	-	nan	nan	16744.0	-	0.8578286349007888	42891.43174503944	25863.0	-	1.1422898708370455	57114.49354185227	78447.0	-	3.072730072451812	153636.5036225906	75852.0	-	2.5751533505662167	128757.66752831083	19612.0	-	0.7910767166741766	39553.83583370883	25004.0	-	0.8861550233547104	44307.75116773552	83016.0	-	3.10588622070967	155294.3110354835
3001241302 1:100000	2834.0	-	0.09863871024600389	9863.871024600388	2975.0	-	0.20535361126770954	20535.361126770953	193.0	-	nan	nan	1789.0	-	0.09534705756268726	9534.705756268726	2819.0	-	0.1323089069096857	13230.890690968568	8177.0	-	0.37995168163783866	37995.16816378386	7656.0	-	0.3126284321733414	31262.843217334143	2090.0	-	0.11036974373028813	11036.974373028812	2579.0	-	0.09614412349268726	9614.412349268727	8744.0	-	0.37781701366500386	37781.70136650038
V2002042B2 1:50000	11683.0	-	0.42080880589223096	21040.440294611548	16070.0	-	0.9787808972520478	48939.044862602386	17334.0	-	0.8788289885900594	43941.44942950297	6863.0	-	0.36286503011175064	18143.251505587534	9962.0	-	0.45844858334575783	22922.42916728789	39923.0	-	1.6613016678967438	83065.08339483719	41668.0	-	1.4856879982564226	74284.39991282113	8217.0	-	0.37589412777576586	18794.706388788294	11749.0	-	0.4168165091324115	20840.825456620572	41372.0	-	1.6217818329967042	81089.09164983522
V2002042B2 1:100000	1258.0	-	0.041374489788405404	4137.448978840541	1662.0	-	0.11714584792227184	11714.584792227184	1822.0	-	0.08460659749583173	8460.659749583172	711.0	-	0.03483862676852569	3483.862676852569	1067.0	-	0.046560358221094736	4656.035822109474	4078.0	-	0.19104380161702764	19104.380161702764	4298.0	-	0.18069569570129765	18069.569570129766	897.0	-	0.046315621275423886	4631.562127542388	1227.0	-	0.04617225620931577	4617.2256209315765	4272.0	-	0.1909769003310393	19097.690033103932
-	92535.0	-	3.375254246080604	3.375254246080604	216303.0	-	10.428697310879251	10.428697310879251	1251.0	-	0.050980480237775516	0.050980480237775516	79265.0	-	3.794421982071346	3.794421982071346	96712.0	-	3.9929014377758008	3.9929014377758008	372406.0	-	12.586151542392303	12.586151542392303	285398.0	-	9.030841012004695	9.030841012004695	82085.0	-	2.650511768918563	2.650511768918563	87043.0	-	3.719770404606764	3.719770404606764	405978.0	-	13.732757985995104	13.732757985995104
V2010022B2 1:50000	7056.0	-	0.2522638296148905	12613.191480744526	11506.0	-	0.7210167788630318	36050.83894315159	12571.0	-	0.6456520113993867	32282.600569969334	4379.0	-	0.23398815341610424	11699.407670805213	6558.0	-	0.30577896013294353	15288.948006647177	28397.0	-	1.2161121365855545	60805.60682927773	29540.0	-	1.08464930031565	54232.4650157825	5398.0	-	0.2607818943538853	13039.094717694266	7195.0	-	0.2589037311678711	12945.186558393554	30354.0	-	1.214565590002452	60728.2795001226
V2010022B2 1:100000	768.0	-	0.023590615572431955	2359.0615572431957	1199.0	-	0.08450757936893083	8450.757936893084	1364.0	-	0.05774384185210718	5774.384185210718	550.0	-	0.02545704262976097	2545.704262976097	727.0	-	0.02908595343028033	2908.595343028033	3053.0	-	0.14102049581422685	14102.049581422685	3063.0	-	0.12961825552982037	12961.825552982036	635.0	-	0.030220119543623275	3022.0119543623273	849.0	-	0.031641615720239095	3164.1615720239097	3191.0	-	0.1439939120395585	14399.391203955849
