Standard1	2.2	4.4	70	1.7	2.6	18	14	1.4	2.1	29
Standard2	0.55	1.1	17.5	0.425	0.65	4.5	3.5	0.35	0.525	7.25
Standard3	0.138	0.275	4.38	0.106	0.163	1.13	0.875	0.0875	0.131	1.81
Standard4	0.0344	0.0688	1.09	0.0266	0.0406	0.281	0.219	0.0219	0.0328	0.453
Standard5	0.00859	0.0172	0.273	0.00664	0.0102	0.0703	0.0547	0.00547	0.0082	0.113
Standard6	0.00215	0.0043	0.0684	0.00166	0.00254	0.0176	0.0137	0.00137	0.00205	0.0283
Standard7	0.000537	0.00107	0.0171	0.000415	0.000635	0.00439	0.00342	0.000342	0.000513	0.00708
Standard8	0	0	0	0	0	0	0	0	0	0
